group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup
top-10,com.tw,top-10/com.tw,delegation-heavy,A_UPDATE,0.0139999999999999,0.223126,0.196482,15.937571428571543,14.034428571428672
top-10,com.tw,top-10/com.tw,delegation-heavy,NS_UPDATE,0.01,0.239229,0.191607,23.9229,19.1607
top-10,com.tw,top-10/com.tw,delegation-heavy,CNAME_UPDATE,0.222,0.601862,0.712056,2.71109009009009,3.2074594594594594
top-10,com.ua,top-10/com.ua,delegation-heavy,A_ADD,0.496,0.252399,0.234578,0.5088689516129032,0.4729395161290323
top-10,com.ua,top-10/com.ua,delegation-heavy,A_UPDATE,0.007,0.218006,0.20085,31.143714285714285,28.692857142857143
top-10,com.ua,top-10/com.ua,delegation-heavy,NS_UPDATE,0.007,0.218531,0.21594,31.218714285714285,30.848571428571425
top-10,gov.cn,top-10/gov.cn,delegation-heavy,A_ADD,0.581,0.220132,0.203222,0.37888468158347677,0.3497796901893288
top-10,gov.cn,top-10/gov.cn,delegation-heavy,A_UPDATE,0.014,0.207977,0.193555,14.8555,13.825357142857143
top-10,gov.cn,top-10/gov.cn,delegation-heavy,NS_UPDATE,0.007,0.211249,0.201756,30.17842857142857,28.822285714285712
top-10,net.au,top-10/net.au,delegation-heavy,A_ADD,0.453,0.259678,0.228613,0.5732406181015453,0.5046644591611479
top-10,net.au,top-10/net.au,delegation-heavy,A_UPDATE,0.008,0.261166,0.235351,32.64575,29.418875
top-10,net.au,top-10/net.au,delegation-heavy,NS_UPDATE,0.007,0.252402,0.234106,36.057428571428574,33.443714285714286
top-10,net.au,top-10/net.au,delegation-heavy,CNAME_UPDATE,0.144,0.532771,0.640821,3.6997986111111114,4.450145833333334
top-10,org.br,top-10/org.br,delegation-heavy,A_ADD,0.387,0.59262,0.815245,1.5313178294573644,2.106576227390181
top-10,org.br,top-10/org.br,delegation-heavy,A_UPDATE,0.008,0.235499,0.304344,29.437375,38.043
top-10,org.br,top-10/org.br,delegation-heavy,NS_UPDATE,0.007,0.544916,0.66248,77.84514285714285,94.63999999999999
top-10,org.br,top-10/org.br,delegation-heavy,CNAME_UPDATE,0.089,0.868047,1.059724,9.753337078651686,11.907011235955059
